X(m),Y(m),Z(m),Distance(m),Capacity(MBit/sec),DelaySpread(sec),Interference (dB),Noise (dB),SNR (dB),SIR (dB),SINR (dB),Environment,Base Station Type,Base Station Code,Base Station Coordinates,Total Capacity (Gbps),Total Bandwidth (GHz),number of interfaces,Net delay(ms)
1080.0,270.0,150.0,1013.7,131.2724,3.20004e-09,-250.0,-87.9897,-2.394997,159.6153,-2.394997,sea sky,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1080.0,580.0,150.0,610.474,397.0144,7.79989e-09,-250.0,-87.9897,4.711193,166.7215,4.711193,plain air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1080.0,880.0,150.0,633.818,257.4653,1.11057e-08,-250.0,-87.9897,1.585897,163.5962,1.585897,plain air,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1080.0,1080.0,150.0,815.891,326.5481,1.15203e-08,-250.0,-87.9897,3.224291,165.2346,3.224291,plain air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1080.0,1250.0,150.0,485.953,743.9589,4.17179e-07,-250.0,-87.9897,10.8549,172.8652,10.8549,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1080.0,1460.0,150.0,461.546,269.3441,1.50548e-07,-250.0,-87.9897,1.884597,163.8949,1.884597,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1080.0,1760.0,150.0,881.858,190.8934,1.53158e-08,-250.0,-87.9897,-0.2786031,161.7317,-0.2786031,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1090.0,70.0,150.0,783.232,263.111,1.0849e-07,-250.0,-87.9897,1.728891,163.7392,1.728891,sea sky,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1090.0,380.0,150.0,100040.0,399.3351,3.66221e-07,-250.0,-96.22878,40.07018,193.8414,40.07018,sea sky,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1090.0,700.0,150.0,451.121,472.0912,2.05753e-08,-250.0,-87.9897,6.165098,168.1754,6.165098,plain air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1090.0,980.0,150.0,812.333,188.6678,4.36695e-09,-250.0,-87.9897,-0.3481068,161.6622,-0.3481068,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1090.0,1150.0,150.0,933.651,169.88,1.02394e-08,-250.0,-87.9897,-0.9596028,161.0507,-0.9596028,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1090.0,1330.0,300.0,654.985,254.9822,5.72252e-08,-250.0,-87.9897,1.522392,163.5327,1.522392,suburban air,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1090.0,1560.0,300.0,345.997,485.9567,4.306e-08,-250.0,-87.9897,6.42279,168.4331,6.42279,suburban air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1090.0,1870.0,300.0,99891.9,401.8433,7.02432e-07,-250.0,-96.22878,40.32189,194.0931,40.32189,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1100.0,190.0,300.0,667.926,335.0928,3.22367e-07,-250.0,-87.9897,3.412803,165.4231,3.412803,sea sky,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1100.0,500.0,300.0,533.209,307.4788,1.93263e-08,-250.0,-87.9897,2.793697,164.804,2.793697,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1100.0,800.0,300.0,99888.3,384.4449,1.18639e-06,-250.0,-96.22878,38.57588,192.3471,38.57588,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1100.0,1040.0,300.0,826.922,247.6277,7.50364e-09,-250.0,-87.9897,1.332,163.3423,1.332,plain air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1100.0,1210.0,300.0,998.325,133.2878,6.18829e-08,-250.0,-87.9897,-2.312504,159.6978,-2.312504,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1100.0,1420.0,2.0,1176.1,130.1516,8.63881e-09,-250.0,-87.9897,-2.441307,159.569,-2.441307,suburban ground,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1100.0,1730.0,2.0,524.051,354.1574,2.43989e-08,-250.0,-87.9897,3.824495,165.8348,3.824495,plain ground,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1110.0,40.0,2.0,1239.92,88.99203,2.62084e-09,-250.0,-87.9897,-4.421603,157.5887,-4.421603,sea surface,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1110.0,350.0,2.0,598.901,1.336804,6.24251e-07,-250.0,-87.9897,-23.3313,138.679,-23.3313,sea surface,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1110.0,670.0,2.0,859.146,10.19021,2.96432e-07,-250.0,-87.9897,-14.4433,147.567,-14.4433,plain ground,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1110.0,950.0,2.0,703.052,136.8416,1.82688e-07,-250.0,-87.9897,-2.169405,159.8409,-2.169405,plain ground,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1110.0,1130.0,2.0,664.257,155.3853,1.04143e-08,-250.0,-87.9897,-1.466204,160.5441,-1.466204,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1110.0,1310.0,150.0,480.026,387.7451,4.2599e-08,-250.0,-87.9897,4.523491,166.5338,4.523491,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1110.0,1530.0,300.0,373.543,438.5382,4.44647e-08,-250.0,-87.9897,5.528597,167.5389,5.528597,suburban air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1110.0,1840.0,300.0,99891.6,365.5741,7.29826e-07,-250.0,-96.22878,36.68199,190.4532,36.68199,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1120.0,160.0,300.0,697.929,234.8385,1.24146e-07,-250.0,-87.9897,0.9921968,163.0025,0.9921968,sea sky,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1120.0,470.0,300.0,539.641,286.5919,3.02055e-08,-250.0,-87.9897,2.304491,164.3148,2.304491,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1120.0,780.0,300.0,446.064,317.0455,1.14239e-07,-250.0,-87.9897,3.011497,165.0218,3.011497,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1120.0,1020.0,300.0,1159.08,7.622983,4.59433e-08,-250.0,-87.9897,-15.7233,146.287,-15.7233,plain air,BS,BS urban high rise 1,314 1829 80,253.411,10.0,2400,0.7
1120.0,1190.0,300.0,558.007,341.8046,1.01603e-07,-250.0,-87.9897,3.559097,165.5694,3.559097,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1120.0,1380.0,300.0,930.183,218.9264,1.92978e-08,-250.0,-87.9897,0.5522,162.5625,0.5522,suburban air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1120.0,1650.0,300.0,915.081,149.8081,7.59895e-08,-250.0,-87.9897,-1.670605,160.3397,-1.670605,suburban air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1120.0,1960.0,300.0,703.868,283.8224,2.30119e-08,-250.0,-87.9897,2.238096,164.2484,2.238096,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1130.0,270.0,300.0,99890.8,341.404,7.24476e-07,-250.0,-96.22878,34.25598,188.0272,34.25598,sea sky,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1130.0,590.0,300.0,545.793,298.076,2.37547e-08,-250.0,-87.9897,2.575897,164.5862,2.575897,plain air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1130.0,880.0,300.0,795.116,328.4192,1.23892e-07,-250.0,-87.9897,3.265794,165.2761,3.265794,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1130.0,1090.0,300.0,599.354,258.7063,4.68787e-08,-250.0,-87.9897,1.617492,163.6278,1.617492,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1130.0,1260.0,300.0,1004.68,136.043,4.62616e-09,-250.0,-87.9897,-2.201306,159.809,-2.201306,suburban air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1130.0,1460.0,300.0,99889.2,705.9481,7.50766e-08,-250.0,-96.22878,70.83719,224.6084,70.83719,suburban air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1130.0,1770.0,2.0,955.896,3.629443,2.1839e-07,-250.0,-87.9897,-18.9763,143.034,-18.9763,plain ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1140.0,80.0,2.0,775.498,169.1773,2.82108e-10,-250.0,-87.9897,-0.9834065,161.0269,-0.9834065,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1140.0,390.0,2.0,100188.0,383.026,2.13273e-07,-250.0,-96.22878,38.43349,192.2047,38.43349,plain ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1140.0,710.0,2.0,873.38,0.3267599,5.75787e-07,-250.0,-87.9897,-29.4573,132.553,-29.4573,plain ground,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1140.0,980.0,2.0,597.315,0.1837961,3.7045e-07,-250.0,-87.9897,-31.9573,130.053,-31.9573,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1140.0,1150.0,2.0,467.174,0.02169986,1.18728e-06,-250.0,-87.9897,-41.23731,120.773,-41.23731,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1140.0,1340.0,2.0,363.07,172.8223,1.71174e-07,-250.0,-87.9897,-0.8607068,161.1496,-0.8607068,suburban ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1140.0,1610.0,2.0,855.174,0.06431701,2.28427e-07,-250.0,-87.9897,-36.5183,125.492,-36.5183,suburban ground,BS,BS urban high rise 1,314 1829 80,253.411,10.0,2400,0.7
1140.0,1930.0,150.0,100042.0,442.9347,5.33011e-07,-250.0,-96.22878,44.44538,198.2166,44.44538,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1150.0,250.0,150.0,695.259,217.2703,1.18061e-07,-250.0,-87.9897,0.505203,162.5155,0.505203,sea sky,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1150.0,560.0,150.0,400.739,541.4979,3.99723e-08,-250.0,-87.9897,7.428697,169.439,7.428697,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1150.0,860.0,150.0,439.856,427.4392,7.48418e-08,-250.0,-87.9897,5.313591,167.3239,5.313591,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1150.0,1070.0,150.0,524.253,5.804944,2.18561e-07,-250.0,-87.9897,-16.92031,145.09,-16.92031,plain air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1150.0,1240.0,150.0,785.589,535.2251,2.4783e-07,-250.0,-87.9897,7.316993,169.3273,7.316993,plain air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1150.0,1440.0,150.0,361.87,0.2580361,1.364e-07,-250.0,-87.9897,-30.4833,131.527,-30.4833,suburban air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1150.0,1740.0,150.0,949.07,143.6487,3.20002e-08,-250.0,-87.9897,-1.903206,160.1071,-1.903206,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1160.0,50.0,150.0,761.047,204.8164,8.33714e-09,-250.0,-87.9897,0.1437985,162.1541,0.1437985,sea sky,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1160.0,360.0,150.0,100040.0,403.8222,3.50588e-07,-250.0,-96.22878,40.52048,194.2917,40.52048,sea sky,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1160.0,680.0,150.0,516.13,548.9929,3.66779e-08,-250.0,-87.9897,7.561592,169.5719,7.561592,plain air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1160.0,960.0,150.0,331.982,603.2297,1.58444e-08,-250.0,-87.9897,8.506492,170.5168,8.506492,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1160.0,1130.0,150.0,100038.0,398.6096,6.94764e-07,-250.0,-96.22878,39.99738,193.7686,39.99738,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1160.0,1310.0,150.0,534.967,411.4594,3.01119e-07,-250.0,-87.9897,4.999698,167.01,4.999698,suburban air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1160.0,1540.0,150.0,349.732,92.51662,2.60816e-08,-250.0,-87.9897,-4.225003,157.7853,-4.225003,suburban air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1160.0,1860.0,150.0,501.423,401.2062,1.36583e-07,-250.0,-87.9897,4.795402,166.8057,4.795402,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1170.0,170.0,150.0,1147.26,108.3074,4.64342e-09,-250.0,-87.9897,-3.414904,158.5954,-3.414904,sea sky,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1170.0,480.0,150.0,523.964,436.4845,8.44654e-09,-250.0,-87.9897,5.48899,167.4993,5.48899,plain air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1170.0,790.0,150.0,400.016,433.2626,3.06059e-08,-250.0,-87.9897,5.426696,167.437,5.426696,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1170.0,1030.0,150.0,862.983,287.7942,5.63153e-08,-250.0,-87.9897,2.333196,164.3435,2.333196,plain air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1170.0,1200.0,150.0,1065.54,89.35402,1.93749e-08,-250.0,-87.9897,-4.401108,157.6092,-4.401108,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1170.0,1400.0,150.0,346.702,0.2075476,2.90477e-07,-250.0,-87.9897,-31.42931,130.581,-31.42931,suburban air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1170.0,1710.0,300.0,409.42,448.3422,1.48044e-07,-250.0,-87.9897,5.716594,167.7269,5.716594,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1180.0,20.0,300.0,1275.89,94.08597,4.82447e-09,-250.0,-87.9897,-4.139506,157.8708,-4.139506,sea sky,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1180.0,330.0,300.0,600.898,288.8732,3.02186e-08,-250.0,-87.9897,2.358898,164.3692,2.358898,sea sky,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1180.0,650.0,300.0,963.878,206.1873,1.79139e-08,-250.0,-87.9897,0.1843011,162.1946,0.1843011,plain air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1180.0,940.0,300.0,857.476,186.0942,4.13274e-08,-250.0,-87.9897,-0.4292072,161.5811,-0.4292072,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1180.0,1120.0,300.0,1110.6,131.5566,1.36826e-08,-250.0,-87.9897,-2.383305,159.627,-2.383305,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1180.0,1300.0,150.0,1106.09,116.6186,3.64805e-09,-250.0,-87.9897,-3.027207,158.9831,-3.027207,suburban air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1180.0,1510.0,150.0,100040.0,272.3422,5.46758e-07,-250.0,-96.22878,27.31968,181.0909,27.31968,suburban air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1180.0,1830.0,300.0,542.944,50.37573,3.38943e-08,-250.0,-87.9897,-7.195202,154.8151,-7.195202,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1190.0,140.0,300.0,776.833,247.199,2.24261e-08,-250.0,-87.9897,1.320795,163.3311,1.320795,sea sky,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1190.0,460.0,300.0,946.375,131.4276,2.79275e-08,-250.0,-87.9897,-2.388607,159.6217,-2.388607,plain air,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1190.0,760.0,300.0,99888.5,382.8715,1.15397e-06,-250.0,-96.22878,38.41798,192.1892,38.41798,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1190.0,1020.0,300.0,913.961,159.2047,1.46475e-08,-250.0,-87.9897,-1.3294,160.6809,-1.3294,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1190.0,1180.0,300.0,650.423,453.1885,1.47779e-07,-250.0,-87.9897,5.808891,167.8192,5.808891,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1190.0,1370.0,150.0,331.801,6.939713,1.62073e-08,-250.0,-87.9897,-16.1363,145.874,-16.1363,suburban air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1190.0,1630.0,2.0,100188.0,381.1776,1.06005e-07,-250.0,-96.22878,38.24798,192.0192,38.24798,suburban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1190.0,1950.0,2.0,582.606,0.09656103,5.35008e-07,-250.0,-87.9897,-34.7533,127.257,-34.7533,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1200.0,260.0,2.0,603.884,98.83909,3.35654e-07,-250.0,-87.9897,-3.887707,158.1226,-3.887707,sea surface,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1200.0,580.0,2.0,433.079,217.9209,1.96147e-09,-250.0,-87.9897,0.5236945,162.534,0.5236945,plain ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1200.0,870.0,2.0,583.491,23.81224,9.3506e-07,-250.0,-87.9897,-10.65361,151.3567,-10.65361,plain ground,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1200.0,1080.0,2.0,697.434,0.6930306,6.29899e-07,-250.0,-87.9897,-26.1893,135.821,-26.1893,plain ground,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1200.0,1250.0,2.0,815.839,0.07381046,1.54427e-06,-250.0,-87.9897,-35.92031,126.09,-35.92031,plain ground,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1200.0,1460.0,150.0,1245.69,96.37948,4.63028e-09,-250.0,-87.9897,-4.016701,157.9936,-4.016701,suburban air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1200.0,1750.0,150.0,100041.0,399.5603,3.76364e-07,-250.0,-96.22878,40.09279,193.864,40.09279,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1210.0,70.0,150.0,817.426,313.319,1.06256e-07,-250.0,-87.9897,2.927097,164.9374,2.927097,sea sky,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1210.0,380.0,150.0,504.65,485.8328,1.5834e-08,-250.0,-87.9897,6.420501,168.4308,6.420501,sea sky,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1210.0,700.0,150.0,350.133,513.5915,5.25561e-08,-250.0,-87.9897,6.928199,168.9385,6.928199,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1210.0,970.0,150.0,754.593,47.64265,8.85852e-07,-250.0,-87.9897,-7.458607,154.5517,-7.458607,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1210.0,1150.0,150.0,100038.0,381.2513,6.90263e-07,-250.0,-96.22878,38.25538,192.0266,38.25538,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1210.0,1360.0,150.0,915.593,149.4988,4.97974e-08,-250.0,-87.9897,-1.682106,160.3282,-1.682106,suburban air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1210.0,1680.0,150.0,592.225,489.8534,7.52165e-08,-250.0,-87.9897,6.494697,168.505,6.494697,suburban air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1220.0,30.0,150.0,100043.0,417.4623,3.92647e-07,-250.0,-96.22878,41.88928,195.6605,41.88928,sea sky,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1220.0,350.0,150.0,641.132,278.9393,1.23773e-07,-250.0,-87.9897,2.120098,164.1304,2.120098,sea sky,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1220.0,670.0,150.0,848.001,176.09,3.67361e-09,-250.0,-87.9897,-0.7523024,161.258,-0.7523024,plain air,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1220.0,950.0,150.0,652.265,346.3626,1.48276e-07,-250.0,-87.9897,3.657592,165.6679,3.657592,plain air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1220.0,1140.0,150.0,503.81,368.0832,9.35372e-08,-250.0,-87.9897,4.118103,166.1284,4.118103,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1220.0,1330.0,150.0,898.315,125.2645,7.58294e-08,-250.0,-87.9897,-2.647006,159.3633,-2.647006,suburban air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1220.0,1600.0,150.0,333.414,0.07310018,8.80029e-07,-250.0,-87.9897,-35.96231,126.048,-35.96231,suburban air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1220.0,1960.0,150.0,743.525,166.8372,2.53403e-07,-250.0,-87.9897,-1.06321,160.9471,-1.06321,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1230.0,280.0,150.0,1163.43,294.1584,2.10151e-07,-250.0,-87.9897,2.484001,164.4943,2.484001,sea sky,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1230.0,600.0,150.0,764.281,188.9073,2.41002e-08,-250.0,-87.9897,-0.3406012,161.6697,-0.3406012,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1230.0,890.0,150.0,382.326,445.3395,5.66589e-08,-250.0,-87.9897,5.659202,167.6695,5.659202,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1230.0,1100.0,150.0,747.867,230.5612,7.00164e-08,-250.0,-87.9897,0.8758959,162.8862,0.8758959,plain air,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1230.0,1280.0,150.0,610.254,379.0123,3.29643e-07,-250.0,-87.9897,4.344696,166.355,4.344696,suburban air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1230.0,1520.0,150.0,283.639,238.9423,3.39187e-08,-250.0,-87.9897,1.102499,163.1128,1.102499,suburban air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1230.0,1880.0,150.0,518.288,0.3129958,3.69019e-07,-250.0,-87.9897,-29.6443,132.366,-29.6443,plain air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1240.0,210.0,150.0,584.049,290.2956,7.03584e-09,-250.0,-87.9897,2.392696,164.403,2.392696,sea sky,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1240.0,520.0,150.0,100039.0,398.213,5.42278e-07,-250.0,-96.22878,39.95758,193.7288,39.95758,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1240.0,820.0,150.0,100038.0,342.4102,6.84075e-07,-250.0,-96.22878,34.35699,188.1282,34.35699,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1240.0,1060.0,150.0,977.786,135.2979,7.3878e-09,-250.0,-87.9897,-2.231203,159.7791,-2.231203,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1240.0,1240.0,150.0,772.816,191.4115,1.39635e-08,-250.0,-87.9897,-0.2625048,161.7478,-0.2625048,plain air,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1240.0,1460.0,150.0,307.612,533.0973,1.34254e-07,-250.0,-87.9897,7.278999,169.2893,7.278999,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1240.0,1800.0,150.0,425.002,472.1284,1.20314e-09,-250.0,-87.9897,6.165794,168.1761,6.165794,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1250.0,140.0,150.0,1219.85,100.1411,5.25946e-09,-250.0,-87.9897,-3.820511,158.1898,-3.820511,sea sky,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1250.0,450.0,150.0,451.639,516.9868,7.40045e-09,-250.0,-87.9897,6.989597,168.9999,6.989597,plain air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1250.0,760.0,150.0,226.698,735.5271,2.04317e-08,-250.0,-87.9897,10.7174,172.7277,10.7174,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1250.0,1010.0,150.0,100038.0,386.4418,8.01754e-07,-250.0,-96.22878,38.77629,192.5475,38.77629,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1250.0,1200.0,150.0,1078.84,83.27545,4.00602e-08,-250.0,-87.9897,-4.755103,157.2552,-4.755103,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1250.0,1420.0,300.0,836.388,173.0199,1.21471e-07,-250.0,-87.9897,-0.8541073,161.1562,-0.8541073,suburban air,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1250.0,1760.0,300.0,99891.2,403.319,8.87896e-07,-250.0,-96.22878,40.46998,194.2412,40.46998,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1260.0,110.0,300.0,845.532,72.7399,1.79768e-07,-250.0,-87.9897,-5.425402,156.5849,-5.425402,sea sky,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1260.0,420.0,300.0,509.894,292.7542,1.3629e-08,-250.0,-87.9897,2.450889,164.4612,2.450889,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1260.0,730.0,300.0,986.93,242.3665,1.1418e-07,-250.0,-87.9897,1.193603,163.2039,1.193603,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1260.0,1000.0,300.0,599.521,272.4267,1.71016e-08,-250.0,-87.9897,1.960796,163.9711,1.960796,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1260.0,1180.0,300.0,568.518,302.4415,1.45798e-08,-250.0,-87.9897,2.677492,164.6878,2.677492,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1260.0,1380.0,300.0,1089.18,126.8282,7.09119e-09,-250.0,-87.9897,-2.580506,159.4298,-2.580506,suburban air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1260.0,1680.0,300.0,673.372,330.0106,2.25759e-08,-250.0,-87.9897,3.300994,165.3113,3.300994,suburban air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1270.0,50.0,300.0,1364.2,183.8649,9.94143e-08,-250.0,-87.9897,-0.5001032,161.5102,-0.5001032,sea sky,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1270.0,470.0,300.0,689.007,273.2311,2.04168e-08,-250.0,-87.9897,1.980594,163.9909,1.980594,plain air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1270.0,860.0,300.0,899.072,259.3441,1.28809e-07,-250.0,-87.9897,1.633695,163.644,1.633695,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1270.0,1120.0,300.0,513.062,314.4159,8.02932e-08,-250.0,-87.9897,2.951997,164.9623,2.951997,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1270.0,1350.0,300.0,325.0,516.3502,4.8781e-09,-250.0,-87.9897,6.978096,168.9884,6.978096,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
