X(m),Y(m),Z(m),Distance(m),Capacity(MBit/sec),DelaySpread(sec),Interference (dB),Noise (dB),SNR (dB),SIR (dB),SINR (dB),Environment,Base Station Type,Base Station Code,Base Station Coordinates,Total Capacity (Gbps),Total Bandwidth (GHz),number of interfaces,Net delay(ms)
930.0,1490.0,300.0,743.743,212.7951,8.17041e-09,-250.0,-87.9897,0.3769908,162.3873,0.3769908,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
930.0,1800.0,300.0,233.996,638.7732,2.28178e-08,-250.0,-87.9897,9.111894,171.1222,9.111894,plain air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
940.0,110.0,300.0,1108.95,193.0562,1.16018e-07,-250.0,-87.9897,-0.2116074,161.7987,-0.2116074,sea sky,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
940.0,430.0,300.0,460.31,369.0268,1.23516e-07,-250.0,-87.9897,4.137796,166.1481,4.137796,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
940.0,740.0,300.0,576.927,293.3648,4.47695e-09,-250.0,-87.9897,2.465299,164.4756,2.465299,plain air,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
940.0,1000.0,300.0,679.23,235.2865,9.17348e-09,-250.0,-87.9897,1.004299,163.0146,1.004299,plain air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
940.0,1170.0,300.0,776.5,196.6741,1.02868e-08,-250.0,-87.9897,-0.1007045,161.9096,-0.1007045,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
940.0,1350.0,300.0,618.364,2.448109,2.22306e-08,-250.0,-87.9897,-20.6953,141.315,-20.6953,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
940.0,1600.0,300.0,700.699,1.487491,6.80207e-08,-250.0,-87.9897,-22.8663,139.144,-22.8663,plain air,BS,BS urban high rise 1,314 1829 80,253.411,10.0,2400,0.7
940.0,1920.0,300.0,328.746,507.4792,3.51798e-08,-250.0,-87.9897,6.817297,168.8276,6.817297,plain air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
950.0,230.0,300.0,1022.55,194.4764,3.82866e-08,-250.0,-87.9897,-0.1679006,161.8424,-0.1679006,sea sky,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
950.0,550.0,300.0,482.271,339.9442,7.77465e-08,-250.0,-87.9897,3.518699,165.529,3.518699,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
950.0,840.0,300.0,737.706,366.6474,7.13409e-08,-250.0,-87.9897,4.08809,166.0984,4.08809,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
950.0,1060.0,300.0,934.74,210.7813,2.11143e-08,-250.0,-87.9897,0.3187024,162.329,0.3187024,plain air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
950.0,1230.0,300.0,644.632,0.5909213,1.94691e-07,-250.0,-87.9897,-26.8823,135.128,-26.8823,plain air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
950.0,1430.0,300.0,593.317,280.4361,2.50884e-08,-250.0,-87.9897,2.156395,164.1667,2.156395,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
950.0,1720.0,300.0,681.512,297.4173,1.97538e-08,-250.0,-87.9897,2.560495,164.5708,2.560495,plain air,BS,BS urban high rise 1,314 1829 80,253.411,10.0,2400,0.7
960.0,30.0,300.0,918.04,221.6861,1.54604e-08,-250.0,-87.9897,0.6299914,162.6403,0.6299914,sea sky,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
960.0,350.0,300.0,943.621,214.4983,2.33091e-08,-250.0,-87.9897,0.4260003,162.4363,0.4260003,sea sky,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
960.0,670.0,300.0,531.305,296.7896,4.22276e-08,-250.0,-87.9897,2.545799,164.5561,2.545799,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
960.0,950.0,300.0,694.565,328.3559,1.07327e-08,-250.0,-87.9897,3.264393,165.2747,3.264393,plain air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
960.0,1130.0,300.0,700.375,219.3964,2.00145e-08,-250.0,-87.9897,0.5654942,162.5758,0.5654942,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
960.0,1300.0,300.0,99888.5,395.5693,1.17153e-06,-250.0,-96.22878,39.69228,193.4635,39.69228,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
960.0,1530.0,300.0,574.913,289.9039,4.4032e-08,-250.0,-87.9897,2.383398,164.3937,2.383398,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
960.0,1840.0,300.0,683.329,310.5095,1.04698e-08,-250.0,-87.9897,2.863096,164.8734,2.863096,plain air,BS,BS urban high rise 1,314 1829 80,253.411,10.0,2400,0.7
970.0,150.0,300.0,849.269,236.3957,1.01081e-08,-250.0,-87.9897,1.034196,163.0445,1.034196,sea sky,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
970.0,470.0,300.0,874.208,246.1758,3.14496e-08,-250.0,-87.9897,1.293997,163.3043,1.293997,plain air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
970.0,780.0,300.0,595.084,278.8239,2.935e-08,-250.0,-87.9897,2.117294,164.1276,2.117294,plain air,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
970.0,1020.0,300.0,574.293,266.9919,1.27171e-08,-250.0,-87.9897,1.826099,163.8364,1.826099,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
970.0,1190.0,300.0,644.829,5.122865,5.61171e-08,-250.0,-87.9897,-17.46831,144.542,-17.46831,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
970.0,1380.0,300.0,812.56,185.8482,4.00395e-09,-250.0,-87.9897,-0.4369988,161.5733,-0.4369988,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
970.0,1650.0,300.0,577.603,278.1085,3.99911e-08,-250.0,-87.9897,2.099899,164.1102,2.099899,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
970.0,1960.0,300.0,705.988,281.8798,5.08083e-08,-250.0,-87.9897,2.191299,164.2016,2.191299,plain air,BS,BS urban high rise 1,314 1829 80,253.411,10.0,2400,0.7
980.0,270.0,2.0,100189.0,382.1422,1.0671e-07,-250.0,-96.22878,38.34479,192.116,38.34479,sea surface,Satellite,Satellite,xxx,40.233,2.5,400,20.0
980.0,590.0,2.0,323.41,181.9344,1.99503e-07,-250.0,-87.9897,-0.5619969,161.4483,-0.5619969,plain ground,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
980.0,880.0,2.0,683.969,307.9147,9.15345e-08,-250.0,-87.9897,2.803701,164.814,2.803701,plain ground,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
